page_number,char_count,myanmar_char_count,myanmar_char_ratio,avg_word_confidence,empty_page,suspicious_page,has_error
55,2941,2685,0.913,0.982,False,False,False
56,3094,2836,0.917,0.975,False,False,False
57,2841,2602,0.916,0.975,False,False,False
58,2862,2635,0.921,0.984,False,False,False
59,2613,2385,0.913,0.985,False,False,False
60,2545,2288,0.899,0.984,False,False,False
61,2907,2671,0.919,0.988,False,False,False
62,2511,2276,0.906,0.979,False,False,False
63,2838,2610,0.92,0.986,False,False,False
64,2839,2608,0.919,0.975,False,False,False
65,2863,2635,0.92,0.979,False,False,False
66,2663,2426,0.911,0.976,False,False,False
67,2510,2292,0.913,0.982,False,False,False
68,2731,2497,0.914,0.984,False,False,False
69,3096,2813,0.909,0.986,False,False,False
70,2905,2656,0.914,0.985,False,False,False
71,3066,2799,0.913,0.98,False,False,False
72,3166,2916,0.921,0.979,False,False,False
73,2883,2635,0.914,0.978,False,False,False
74,3087,2790,0.904,0.97,False,False,False
75,2993,2735,0.914,0.977,False,False,False
76,3058,2803,0.917,0.979,False,False,False
77,2887,2647,0.917,0.98,False,False,False
78,3125,2873,0.919,0.982,False,False,False
79,2610,2386,0.914,0.983,False,False,False
80,2545,2315,0.91,0.985,False,False,False
81,2907,2658,0.914,0.984,False,False,False
82,3052,2776,0.91,0.983,False,False,False
83,3004,2758,0.918,0.986,False,False,False
84,3145,2885,0.917,0.99,False,False,False
85,2845,2606,0.916,0.989,False,False,False
86,3093,2846,0.92,0.979,False,False,False
87,2946,2687,0.912,0.985,False,False,False
88,2725,2474,0.908,0.978,False,False,False
89,3013,2737,0.908,0.975,False,False,False
90,2368,2146,0.906,0.975,False,False,False
91,2316,2090,0.902,0.976,False,False,False
92,2708,2476,0.914,0.984,False,False,False
93,2388,2189,0.917,0.984,False,False,False
94,2417,2191,0.906,0.985,False,False,False
95,2854,2584,0.905,0.98,False,False,False
96,2632,2391,0.908,0.986,False,False,False
97,2987,2756,0.923,0.989,False,False,False
98,2923,2694,0.922,0.99,False,False,False
99,2862,2622,0.916,0.989,False,False,False
100,2923,2669,0.913,0.99,False,False,False
101,2760,2508,0.909,0.987,False,False,False
102,2780,2536,0.912,0.985,False,False,False
103,2977,2734,0.918,0.984,False,False,False
104,2555,2319,0.908,0.985,False,False,False
105,2747,2482,0.904,0.976,False,False,False
106,3186,2919,0.916,0.987,False,False,False
107,2819,2579,0.915,0.982,False,False,False
108,3053,2810,0.92,0.991,False,False,False
109,3058,2817,0.921,0.979,False,False,False
110,2826,2590,0.916,0.986,False,False,False
111,3028,2739,0.905,0.983,False,False,False
112,2860,2610,0.913,0.984,False,False,False
113,2884,2632,0.913,0.987,False,False,False
114,3073,2819,0.917,0.983,False,False,False
115,2937,2657,0.905,0.983,False,False,False
116,2946,2686,0.912,0.985,False,False,False
117,3162,2863,0.905,0.986,False,False,False
118,2883,2655,0.921,0.984,False,False,False
119,3055,2816,0.922,0.987,False,False,False
120,3241,3019,0.932,0.983,False,False,False
121,3071,2855,0.93,0.987,False,False,False
122,2512,2310,0.92,0.986,False,False,False
123,2794,2518,0.901,0.972,False,False,False
124,2951,2673,0.906,0.98,False,False,False
125,2992,2720,0.909,0.98,False,False,False
