body,head,train_support,train_body_pairs,train_confidence,head_coverage,test_body_pairs,test_support,test_confidence
R15,R11,9,547,0.016453382084095063,0.006442376521116679,96,1,0.010416666666666666
R15,R12,14,547,0.025594149908592323,0.007368421052631579,96,8,0.08333333333333333
R15,R20,7,547,0.012797074954296161,0.08641975308641975,96,1,0.010416666666666666
R15,R23,13,547,0.02376599634369287,0.011764705882352941,96,3,0.03125
R15,R30,4,547,0.007312614259597806,0.016666666666666666,96,0,0.0
R16,R12,4,126,0.031746031746031744,0.002105263157894737,51,0,0.0
R16,R14,3,126,0.023809523809523808,0.006198347107438017,51,0,0.0
R16,R23,3,126,0.023809523809523808,0.0027149321266968325,51,0,0.0
R16,R34,3,126,0.023809523809523808,0.008287292817679558,51,0,0.0
R18,R11,4,353,0.0113314447592068,0.002863278453829635,78,0,0.0
R18,R12,3,353,0.0084985835694051,0.0015789473684210526,78,0,0.0
R18,R34,3,353,0.0084985835694051,0.008287292817679558,78,0,0.0
R18,R56,3,353,0.0084985835694051,0.015228426395939087,78,0,0.0
R20,R12,5,81,0.06172839506172839,0.002631578947368421,13,0,0.0
R20,R15,7,81,0.08641975308641975,0.012797074954296161,13,1,0.07692307692307693
R20,R23,4,81,0.04938271604938271,0.0036199095022624436,13,0,0.0
R21,R12,3,103,0.02912621359223301,0.0015789473684210526,19,0,0.0
R21,R23,4,103,0.038834951456310676,0.0036199095022624436,19,0,0.0
R21,R51,4,103,0.038834951456310676,0.02631578947368421,19,1,0.05263157894736842
R21,R52,4,103,0.038834951456310676,0.02702702702702703,19,0,0.0
R22,R09,3,107,0.028037383177570093,0.002243829468960359,27,0,0.0
R22,R40,3,107,0.028037383177570093,0.0069767441860465115,27,0,0.0
R23,R05,4,1105,0.0036199095022624436,0.004158004158004158,291,1,0.003436426116838488
R23,R08,5,1105,0.004524886877828055,0.015060240963855422,291,0,0.0
R23,R09,7,1105,0.006334841628959276,0.005235602094240838,291,1,0.003436426116838488
R23,R11,11,1105,0.009954751131221719,0.007874015748031496,291,1,0.003436426116838488
R23,R12,8,1105,0.007239819004524887,0.004210526315789474,291,1,0.003436426116838488
R23,R14,3,1105,0.0027149321266968325,0.006198347107438017,291,0,0.0
R23,R15,13,1105,0.011764705882352941,0.02376599634369287,291,3,0.010309278350515464
R23,R16,3,1105,0.0027149321266968325,0.023809523809523808,291,0,0.0
R23,R20,4,1105,0.0036199095022624436,0.04938271604938271,291,0,0.0
R23,R21,4,1105,0.0036199095022624436,0.038834951456310676,291,0,0.0
R23,R24,8,1105,0.007239819004524887,0.016359918200409,291,2,0.006872852233676976
R23,R26,4,1105,0.0036199095022624436,0.01509433962264151,291,1,0.003436426116838488
R23,R29,3,1105,0.0027149321266968325,0.046153846153846156,291,2,0.006872852233676976
R23,R31,8,1105,0.007239819004524887,0.04371584699453552,291,5,0.01718213058419244
R23,R38,4,1105,0.0036199095022624436,0.024539877300613498,291,0,0.0
R23,R40,3,1105,0.0027149321266968325,0.0069767441860465115,291,1,0.003436426116838488
R23,R42,3,1105,0.0027149321266968325,0.012,291,4,0.013745704467353952
R23,R44,9,1105,0.008144796380090498,0.014657980456026058,291,4,0.013745704467353952
R23,R52,3,1105,0.0027149321266968325,0.02027027027027027,291,1,0.003436426116838488
R23,R65,3,1105,0.0027149321266968325,0.00558659217877095,291,2,0.006872852233676976
R23,R71,4,1105,0.0036199095022624436,0.027586206896551724,291,0,0.0
R23,R76,3,1105,0.0027149321266968325,0.017241379310344827,291,1,0.003436426116838488
R24,R23,8,489,0.016359918200409,0.007239819004524887,121,2,0.01652892561983471
R24,R26,3,489,0.006134969325153374,0.011320754716981131,121,0,0.0
R24,R40,3,489,0.006134969325153374,0.0069767441860465115,121,0,0.0
R25,R34,6,183,0.03278688524590164,0.016574585635359115,31,0,0.0
