pattern,unit,observed,null_mean,null_sd,z,p_greater,p_two_sided,draws,q_greater,q_two_sided
information -> other,page_presence,161.0,159.25562781390695,2.498685759368481,0.6981158713346646,0.314,0.628,1999,0.9995,1.0
coercion -> authorization,path_count,69.0,73.23811905952977,2.065573590577205,-2.0517879773750702,0.992,0.086,1999,0.9965000000000002,0.5117777777777778
coercion -> authorization,page_presence,15.0,17.678339169584792,1.2659734324831877,-2.1156361585971597,0.9975,0.073,1999,0.9995,0.89425
coercion -> execution,path_count,67.0,78.72136068034017,4.760205721182932,-2.4623643108910342,0.9945,0.022,1999,0.9965000000000002,0.441
coercion -> execution,page_presence,33.0,38.435717858929465,2.3535683879149993,-2.3095644413141136,0.994,0.035,1999,0.9995,0.5716666666666667
coercion -> information,path_count,25.0,21.94847423711856,1.5557206336298006,1.9614869771069585,0.046,0.092,1999,0.57575,0.5117777777777778
coercion -> information,page_presence,15.0,13.314157078539269,1.0934121947217506,1.5418182910331826,0.1395,0.279,1999,0.9995,1.0
coercion -> coercion,path_count,23.0,26.947973986993496,2.191597076350653,-1.8014141511666373,0.9725,0.138,1999,0.9965000000000002,0.6084166666666666
coercion -> coercion,page_presence,18.0,18.328664332166085,1.4695895550607951,-0.2236436228294289,0.717,1.0,1999,0.9995,1.0
coercion -> resistance,path_count,72.0,71.42071035517759,3.156192777460895,0.18354064078697968,0.499,0.998,1999,0.9965000000000002,1.0
coercion -> resistance,page_presence,47.0,47.37668834417209,2.0642039085796258,-0.1824860143934551,0.6615,1.0,1999,0.9995,1.0
coercion -> allegiance,path_count,11.0,9.860430215107554,0.8322996682356956,1.3691820727360133,0.2365,0.473,1999,0.9965000000000002,0.9902083333333334
coercion -> allegiance,page_presence,9.0,8.55127563781891,0.5895716396503999,0.7611023529679485,0.6015,1.0,1999,0.9995,1.0
coercion -> other,path_count,111.0,122.44122061030515,4.9797811127384115,-2.2975348416496075,0.994,0.018,1999,0.9965000000000002,0.441
coercion -> other,page_presence,51.0,54.285642821410704,2.1320165264266127,-1.5410963192286498,0.967,0.192,1999,0.9995,1.0
resistance -> authorization,path_count,323.0,316.4977488744372,6.459380274337159,1.0066369913838265,0.2175,0.435,1999,0.9965000000000002,0.9755454545454545
resistance -> authorization,page_presence,61.0,60.67933966983492,1.5925654237144866,0.20134829338262125,0.539,1.0,1999,0.9995,1.0
resistance -> execution,path_count,148.0,147.89944972486242,5.064686144579126,0.019853209511353512,0.5225,1.0,1999,0.9965000000000002,1.0
resistance -> execution,page_presence,57.0,57.5527763881941,2.1065442255259814,-0.2624091065812182,0.6895,0.97,1999,0.9995,1.0
resistance -> information,path_count,33.0,34.48174087043522,1.7414288229010892,-0.8508765049419297,0.873,0.579,1999,0.9965000000000002,1.0
resistance -> information,page_presence,21.0,20.72936468234117,0.6646313876538944,0.40719611304268144,0.6075,1.0,1999,0.9995,1.0
resistance -> coercion,path_count,117.0,110.86843421710856,3.330358898067851,1.8411126159552191,0.047,0.094,1999,0.57575,0.5117777777777778
resistance -> coercion,page_presence,35.0,35.521260630315155,1.317254102280869,-0.3957175987628921,0.7895,0.976,1999,0.9995,1.0
resistance -> resistance,path_count,41.0,43.76038019009505,1.955488427610422,-1.411606507673478,0.954,0.249,1999,0.9965000000000002,0.7177058823529412
resistance -> resistance,page_presence,20.0,21.4232116058029,1.2265748964992294,-1.1603136586806835,0.9425,0.45,1999,0.9995,1.0
resistance -> allegiance,path_count,56.0,54.62831415707854,2.2533300258861857,0.6087372143288261,0.341,0.682,1999,0.9965000000000002,1.0
resistance -> allegiance,page_presence,22.0,23.062531265632817,0.978544503455613,-1.0858282498962641,0.9435,0.537,1999,0.9995,1.0
resistance -> other,path_count,293.0,292.46623311655827,6.177855717718957,0.08640002418813542,0.5035,1.0,1999,0.9965000000000002,1.0
resistance -> other,page_presence,89.0,88.84992496248124,2.180193107584405,0.06883566276614818,0.572,1.0,1999,0.9995,1.0
allegiance -> authorization,path_count,1719.0,1695.7723861930965,17.518236397120425,1.325910512928205,0.0905,0.181,1999,0.658,0.6533333333333334
allegiance -> authorization,page_presence,256.0,255.53026513256629,1.5960911586518474,0.29430328267119826,0.491,0.982,1999,0.9995,1.0
allegiance -> execution,path_count,595.0,601.1470735367684,6.050536272040215,-1.0159551584169968,0.8625,0.359,1999,0.9965000000000002,0.9593684210526316
allegiance -> execution,page_presence,150.0,151.0895447723862,1.918636732104652,-0.5678744465561372,0.795,0.741,1999,0.9995,1.0
allegiance -> information,path_count,73.0,72.07153576788394,2.014557925757542,0.4608774065242736,0.4045,0.809,1999,0.9965000000000002,1.0
allegiance -> information,page_presence,43.0,41.852426213106554,1.5875305098021801,0.7228672329808914,0.341,0.682,1999,0.9995,1.0
allegiance -> coercion,path_count,136.0,138.13256628314156,2.3204136025222986,-0.9190457601280432,0.8665,0.485,1999,0.9965000000000002,0.9902083333333334
allegiance -> coercion,page_presence,51.0,51.937968984492244,1.3586758543212707,-0.6903552319039394,0.8525,0.742,1999,0.9995,1.0
allegiance -> resistance,path_count,27.0,27.246623311655828,1.9466630038420532,-0.12669029573638427,0.646,1.0,1999,0.9965000000000002,1.0
allegiance -> resistance,page_presence,18.0,17.84992496248124,1.350300728144888,0.11114193630402723,0.613,1.0,1999,0.9995,1.0
allegiance -> allegiance,path_count,337.0,342.607803901951,3.938752708976187,-1.4237512015342177,0.9335,0.2,1999,0.9965000000000002,0.6533333333333334
allegiance -> allegiance,page_presence,113.0,113.50725362681341,1.961037500733958,-0.2586659493373068,0.707,0.99,1999,0.9995,1.0
allegiance -> other,path_count,2134.0,2140.533766883442,7.689985126053415,-0.8496462316039598,0.817,0.438,1999,0.9965000000000002,0.9755454545454545
allegiance -> other,page_presence,285.0,283.92196098049027,2.5163952792993234,0.42840607291629684,0.414,0.828,1999,0.9995,1.0
other -> authorization,path_count,977.0,989.8859429714857,17.047363729000985,-0.7558906571321743,0.6905,0.672,1999,0.9965000000000002,1.0
other -> authorization,page_presence,222.0,223.46023011505753,2.8440081802982107,-0.5134408983677444,0.757,0.73,1999,0.9995,1.0
other -> execution,path_count,630.0,629.1210605302651,9.562520246739727,0.09191504405279853,0.483,0.966,1999,0.9965000000000002,1.0
other -> execution,page_presence,237.0,234.92746373186594,3.4831556804217545,0.5950168348154646,0.315,0.63,1999,0.9995,1.0
other -> information,path_count,70.0,74.12506253126563,2.469304486741162,-1.670536198923622,0.964,0.135,1999,0.9965000000000002,0.6084166666666666
other -> information,page_presence,43.0,46.87743871935968,1.9769660183623088,-1.9613077227152833,0.9855,0.095,1999,0.9995,0.931
other -> coercion,path_count,122.0,121.4272136068034,3.368371374360398,0.17004846839531093,0.49,0.98,1999,0.9965000000000002,1.0
other -> coercion,page_presence,49.0,51.57228614307154,2.0942870778686498,-1.2282395141784217,0.929,0.312,1999,0.9995,1.0
other -> resistance,path_count,94.0,96.52276138069034,3.7952287071438557,-0.6647191975391845,0.796,0.584,1999,0.9965000000000002,1.0
other -> resistance,page_presence,52.0,53.892446223111556,2.197673255222717,-0.8611135520779547,0.865,0.51,1999,0.9995,1.0
other -> allegiance,path_count,185.0,184.23461730865432,3.1471235482180084,0.24320071316522032,0.4535,0.907,1999,0.9965000000000002,1.0
other -> allegiance,page_presence,89.0,90.23961980990495,1.5580560304821793,-0.7956195320660708,0.865,0.637,1999,0.9995,1.0
other -> other,path_count,3110.0,3113.6743371685843,13.541191255165963,-0.2713451940339855,0.6145,0.817,1999,0.9965000000000002,1.0
other -> other,page_presence,485.0,483.2126063031516,4.033558075859529,0.4431307702114943,0.3785,0.757,1999,0.9995,1.0
